No.	x	y
1	0.80398072	0.102773857
2	0.46638939	-0.814071508
3	0.451685559	-0.773184608
4	-0.95468645	0.450415875
5	-0.656688888	-0.577633146
6	0.220124739	0.827282272
7	1.029169015	0.103780399
8	-1.008823957	0.579850267
9	-0.76008963	0.761670457
10	0.207303491	0.908285393
11	0.156117902	-0.811782359
12	-0.682704611	0.769211566
13	0.230674249	0.918645966
14	-0.954952946	0.459698498
15	-0.954457679	-0.399187822
16	0.424757668	-1.016467239
17	0.148252306	-1.008597687
18	-0.610345468	-0.641903498
19	0.463529302	-0.926939028
20	0.265025312	-0.957665597
21	0.417064336	-1.052262727
22	-1.001113179	-0.574673096
23	0.335983748	-1.092170454
24	-0.783148125	0.4824758
25	0.421441656	-0.778878102
26	0.901032729	-0.00907998
27	-0.960259616	-0.688573376
28	0.365400328	0.755455102
29	0.127235848	-0.7880067
30	0.495959513	-0.96077276
31	-0.935827478	-0.738613907
32	0.946193561	0.087676478
33	-0.730396707	-0.434016416
34	0.204012857	-0.965766875
35	-0.674263786	0.735014262
36	-0.98769704	-0.597726817
37	-0.695909624	0.467172614
38	-0.933777387	0.580478454
39	-0.99208613	0.475534425
40	0.462984732	-1.038635062
41	1.18773931	0.12050506
42	0.41153029	-0.813413379
43	-0.878191408	-0.588219809
44	0.160962024	-0.915997976
45	-0.693465961	-0.65928504
46	0.309305696	-0.802029695
47	-0.637382022	-0.459308776
48	1.021034743	-0.18965418
49	0.992010767	-0.179536955
50	1.029647046	-0.143473881
51	-1.00424839	0.416627729
52	0.150562549	-0.981679049
53	1.163586362	0.035561647
54	0.493199237	-0.955692731
55	-0.80926723	0.610185417
56	0.351601071	-0.79763949
57	-0.962906545	-0.410583681
58	-0.841337161	0.540929319
59	-0.88701383	-0.450277955
60	-0.946950332	-0.635463241
61	-0.778351559	0.787686214
62	0.190123491	1.122250727
63	0.418908617	-0.75672017
64	0.508001722	-1.008310326
65	-0.873269597	-0.568304733
66	0.19816154	0.84755095
67	-0.967910399	0.657110406
68	0.232045062	0.75667024
69	0.337485467	1.072076062
70	0.345859909	-0.846009054
71	0.151264497	1.114568282
72	0.306769327	-1.065789154
73	0.336237752	0.944810565
