No.	X1	X2	T
1	0.734831093	0.119466092	1
2	0.051801897	0.099864542	0
3	0.710945136	0.804333677	0
4	0.75848151	1.24846182	0
5	-0.294460977	-0.266980057	0
6	0.240443322	-0.270079403	0
7	0.992688621	1.220410484	0
8	-0.23537185	0.26718949	0
9	-0.144273554	0.829010704	1
10	-0.101219087	0.873166067	1
11	0.935802808	0.008121767	1
12	-0.237259316	1.05481355	1
13	-0.134690514	0.256290069	0
14	-0.062149056	0.982165218	1
15	0.061021834	0.890412843	1
16	0.085368102	-0.090980559	0
17	0.933569806	-0.069278325	1
18	0.04758211	-0.220919418	0
19	-0.054016235	0.191164348	0
20	1.164987212	1.279377596	0
21	-0.095115246	-0.031300283	0
22	0.916488432	0.704516767	0
23	0.298708804	1.030515649	1
24	0.926911323	0.864245791	0
25	1.114556089	0.893298857	0
26	0.012365706	0.060785134	0
27	-0.172951798	1.24009619	1
28	1.170006013	1.010181838	0
29	0.702369038	0.209773994	1
30	0.836016337	0.966299951	0
31	0.918578052	1.0378208	0
32	-0.126465485	-0.026845132	0
33	-0.071638716	0.76262807	1
34	0.243839515	0.738396525	1
35	0.892280098	0.120772371	1
36	0.231003614	1.170056029	1
37	0.178132453	-0.039050596	0
38	0.855251616	1.039922782	0
39	0.178522618	-0.070476282	0
40	0.804689653	0.294220306	1
41	1.033184784	-0.24138011	1
42	1.185815726	0.031434378	1
43	0.963583329	1.000756736	0
44	0.912747052	0.920743478	0
45	-3.69518E-05	0.141590439	0
46	0.115804605	-0.208119443	0
47	0.997403423	0.825272789	0
48	0.110815361	0.060758329	0
49	0.04506318	-0.265082262	0
50	0.731355072	-0.297949457	1
51	0.773241781	1.274632436	0
52	0.211450153	1.017486127	1
53	-0.169995811	0.732326692	1
54	0.800829814	1.294887287	0
55	0.757889687	1.264483034	0
56	1.099626174	1.219296183	0
57	0.217498161	-0.240308659	0
58	1.102318099	0.046424628	1
59	1.097908515	1.00627012	0
60	0.763604782	-0.085007449	1
61	1.08730741	1.198492512	0
62	1.2122082	0.048123179	1
63	0.72054455	0.019456125	1
64	0.912907988	1.106340913	0
65	1.060179608	0.262193199	1
66	-0.083827738	1.029956879	1
67	-0.214983931	0.087662872	0
68	0.028485002	-0.102687476	0
69	0.88291342	-0.097650124	1
70	0.751342008	0.767538611	0
71	1.246891404	0.812921426	0
72	1.013030595	0.92377807	0
73	-0.203859895	0.100846445	0
74	-0.256336335	0.045545976	0
75	1.150018902	1.050248527	0
76	0.25355173	0.871777609	1
77	1.229216055	0.898439377	0
78	-0.126052802	0.240922495	0
79	0.177602426	1.189215416	1
80	0.77794935	1.164499458	0
81	-0.19654488	0.008275242	0
82	0.748129461	0.288362323	1
83	-0.112023085	1.160195033	1
84	1.288463217	0.063481946	1
85	0.926560704	-0.079504655	1
86	-0.149477812	1.130991787	1
87	0.166622915	0.177135933	0
88	1.129716545	0.148073709	1
89	0.835297156	-0.134774073	1
90	0.809843653	0.821788149	0
91	-0.151663153	0.726975343	1
92	0.204186582	-0.056880362	0
93	0.110928391	-0.014623392	0
94	0.171981335	-0.174074844	0
95	-0.271969042	0.011637533	0
96	-0.107789799	-0.193713982	0
97	1.114159315	-0.055559723	1
98	1.071524221	-0.059216754	1
99	1.294594683	-0.217939474	1
100	0.087416129	0.291598837	0
101	0.974162004	0.785282754	0
102	1.143673045	1.05587526	0
103	0.986074515	0.26755433	1
104	-0.161280061	0.793984055	1
105	0.116869043	1.104821468	1
106	1.209698589	0.002970299	1
107	0.907834409	0.981255777	0
108	0.862437237	-0.015360624	1
